,LR_prediction,NB_prediction,RF_prediction,TB_prediction,original_sentiment,vader_sentiment,tweet
66,negative,positive,neutral,positive,neutral,positive,"The #WorldCup2022 being held during the winter is strange, but it's helping me cope with @AustinFC withdrawals."
67,positive,negative,neutral,neutral,positive,neutral,#WorldCup2022 Just begun❣️⚽️😍 https://t.co/ssNagiAx3m
68,neutral,positive,neutral,positive,positive,positive,$og OG Fan Token is oficially the coin with less market cap listed on binance ( less than 5M ) lWhales are very welcome   #BTC #BUSD #ETH #WorldCup2022
69,neutral,positive,neutral,positive,positive,positive,The real champions! #IranRevoIution #FIFA #WorldCup2022 #ChildrensDay #Fifa22 #FIFAWorldCup #FIFAWorldCup2022 https://t.co/uKZIYkdiM2
70,neutral,positive,positive,negative,negative,neutral,#WorldCup2022 one thing I learned yesterday is 90% of the so called Football fans  are oblivious to the Offside rule 🤦🏾‍♂️
71,positive,positive,negative,neutral,neutral,positive,"Ian Wright: ""I'd take the fine for that [wearing the armband]"".  And a yellow card, Ian?  Nah. Lol.  #ITVFootball #WorldCup #WorldCup2022"
72,neutral,negative,positive,neutral,neutral,negative,@TSN_Sports Will those of us in Canada who can't watch #WorldCup2022 games live be able to access them on demand through TSN?
73,neutral,negative,neutral,neutral,positive,neutral,Wear the band @HKane 🥰 #WorldCup2022
74,neutral,positive,negative,positive,positive,neutral,@England @wembleystadium Come on England ♥️♥️♥️♥️♥️♥️♥️ Bring it home 🙌 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 #FIFAWorldCup #WorldCup2022 #QatarWorldCup2022 #ThreeLions #England
75,positive,neutral,negative,negative,negative,neutral,"😬😬  Qatar spent all their money on building the stadium/infrastructure for #WorldCup2022 etc, but forgot about investing some $$ in to the football/the team itself 😂😂 Ecuador 2-0 Qatar   #EcuadorvsQatar #FIFAWorldCup https://t.co/Q2bIf84jkG"
76,neutral,neutral,neutral,neutral,neutral,neutral,Journey of the Soul by Sam Oputa https://t.co/dKswQq4v9C … … via @amazon #tuesdaymotivations #Tuzak #SIGUEME #SiguemeYTeSigo #TuesdayFeeling #pastlives #pastlife #AfterLife #SaturdayMorning #tuesdayvibe #TheErasTour #SaturdayVibes #WorldCup2022 #Reincarnation #Soul #Artsuki
77,positive,positive,negative,positive,positive,positive,I'm in on the Gaffer's #WorldCup2022 Sweepstakes where supporting an underdog is a winning strategy! ⚽ From @MartianPLeague #GaffersUnderdogs https://t.co/G61jlvnKYT
78,positive,positive,neutral,positive,positive,positive,I’m impressed that #WeGoTakeThatCup &amp; #TeamCameroon  is trending.. Cameroon 🇨🇲 certainly knows how to make an entrance.  Y’all i introduce Cameroon to the world.✊🏾 #WorldCup2022 #Qatar2022 #FIFAWorldCup2022 https://t.co/O4kv6ROvsl
79,neutral,neutral,neutral,negative,negative,negative,@TSN_Sports I want a refund for my subscription since no one supported me in watching the World Cup today as i am a subscriber and cannot watch as I was promised !!! #TSNDirect  #WorldCup2022
80,neutral,negative,negative,neutral,neutral,positive,"@Juezcentral: The history of Hernán Galindez, goalie of Ecuador | 🧵   “Hernan Galindez was born in Rosario, Argentina. He is 35 years old and is from the same generation of Lionel Messi and Angel Di Maria (both born in 1987 &amp; 1988 respectively)…”  #WorldCup2022 https://t.co/UtKEZlf4lx"
81,negative,positive,negative,neutral,neutral,positive,"Curating a list of some of the best football (soccer, if you are reading in the US) journalists around the world.  https://t.co/S9fv2SSjdw  This is FAR from comprehensive and looking at you for suggestions for other writers (in English) please. Will keep adding.  #WorldCup2022"
82,positive,neutral,positive,negative,negative,negative,"The #WorldCup2022 in Qatar is obviously a disgrace, but we shouldn't forget that the previous edition was held in Russia."
83,positive,negative,positive,positive,positive,positive,Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!  #worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/XrJmzT8Bt8
84,positive,positive,positive,positive,positive,positive,Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!  #worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/Bt2Pb3Zza4
85,positive,neutral,positive,positive,positive,positive,Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!  #worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/JduYly6wur
86,neutral,positive,neutral,neutral,positive,negative,The golden maknae killing the world cup stage. 🔥💜#BTSJUNGKOOK #WorldCup2022 #QatarWorldCup2022 https://t.co/44hbVKMT84
87,positive,negative,negative,neutral,neutral,neutral,Up next to the #netherlands  vs  #senegal  for their first game of #WorldCup2022 🇶🇦  #WorldCup2022 #FIFAWorldCup2022  #WorldCup #Qatar2022 https://t.co/ZcKEKKHSQG
88,positive,neutral,neutral,neutral,neutral,negative,See #كأس_العالم_قطر_2022  İslam #WorldCup2022  #ennervalencia𓃵 https://t.co/AOfMKxqZSc
89,neutral,neutral,positive,positive,positive,positive,Can’t wait! So excited so proud.. the world is in for a surprise #GoCanada🇨🇦 #WorldCup2022 https://t.co/Jr5BEYerUf
90,neutral,neutral,neutral,neutral,positive,negative,A little over $13000 in transactions one day since we launched our #Web3 fantasy management platform https://t.co/DGGWG92U45 Probably users keep falling for the design of our logo provided by @logologydesign by @dagorenouf 😊 #crypto #blokchain #p2e #WorldCup2022
91,positive,neutral,negative,neutral,neutral,positive,USA &amp; England &amp; Netherlands all play tomorrow #WorldCup2022
92,neutral,positive,neutral,positive,positive,positive,"I don't think Nahuel Molina is that great, but besides him, I'm excited to see what #Argentina can do in the #WorldCup2022"
93,positive,negative,positive,neutral,positive,negative,I didn’t know jungkook was about to perform today. When I saw him on live I was shocked 😭🤣🤣 #WorldCup #Qatar2022 #WorldCup2022 #JUNGKOOKxFIFA #FIFAWorldCup2022
94,positive,neutral,neutral,neutral,neutral,neutral,Efootball 2023 - ao vivo na Twitch Brasil -   https://t.co/ulPgVzb9DL  #CopadoMundo - #WorldCup2022 - #eFootball2023
95,neutral,negative,negative,negative,negative,negative,"@GBNEWS The complete unsuitability of #Qatar to host #WorldCup2022 is only part of the problem. There are also unaswered questions as to why it was awarded to them and following the removal of the profoundly suspect Blatter, why the current leadership allowed it to continue."
96,neutral,negative,neutral,positive,positive,positive,"The AFCON 2019 opening ceremony in Egypt was better than that of the 2022 World Cup in Qatar. The Pharaohs’ Golden Parade seemed it emerged from the time of Ancient Egypt to modernity. Qatar has no identity, despite all the budget spent.  #Egypt #WorldCup #WorldCup2022 #Qatar2022 https://t.co/m1oTAbaUcT"
97,neutral,positive,neutral,neutral,neutral,neutral,Fireworks at the FIFA World Cup Qatar 2022 opening ceremony.  #FIFAWorldCupQatar2022 #FIFAWorldCup2022 #WorldCup2022 #Qatar2022 https://t.co/tU7Ncxz1tR
98,neutral,positive,positive,negative,negative,positive,@TheSun I thought we were a ''union of Equals'' ? You have over 20 articles on England and nothing on Wales. you cover Wales too so why is not getting the same #WorldCup2022 coverage? Looks like they are being deliberately excluded. @WalesFootieFans
99,neutral,positive,positive,neutral,neutral,neutral,Ehh why not went and got the 2022 #cro since the #WorldCup2022 started today #cro #crofam #Qatar2022 https://t.co/54oRsv76zH
100,neutral,negative,positive,negative,neutral,neutral,Now this #NFL.#Parlay needs #Kelce ATD. #Kaepernick #Kyrie #Kanye #WorldCup2022 #Truth End #WhiteSupremacy https://t.co/Ab6M3D1eED
101,positive,negative,neutral,neutral,neutral,neutral,The Men's squad give their #WorldCup2022 predictions. Who are you picking to lift the trophy? https://t.co/Cce5Z9EhFe
102,positive,positive,positive,negative,negative,negative,Outrage as BBC snubs Qatar #worldcup2022 opening ceremony https://t.co/c6i2TA5Afs
103,neutral,positive,positive,neutral,positive,positive,Literally moving meetings around at the @pterrys office tomorrow to make sure we can watch the @ussoccer match. #WorldCup2022 #priorities 🌎🏆⚽️
104,positive,negative,neutral,neutral,neutral,positive,"Explanation of Enner Valencia's goal which was disallowed for offside. It wasn't Enner Valencia who was offside, but Michael Estrada. His feet are already more advanced than the goalkeeper.   #QatarWorldCup2022  #Qatar  #FIFAWorldCup  #WorldCup  #WorldCup2022  #Ecuador https://t.co/yLbL2G9rxB"
105,positive,negative,neutral,negative,negative,negative,I'll say it as many times as necessary. The blatant homophobia in the football community is just sickening. Im keeping Qatar out of this conversation. Its everywhere. Even in my own country the comments under most football posts about gay people are disgusting... #WorldCup2022
106,positive,neutral,negative,positive,positive,positive,"#ICYMI: The #WorldCup2022 comes to Fletcher TOMORROW ⚽️🏆   Don’t miss your chance to join our #SportsDiplomacy Conference featuring 12 of the world's most prominent experts in sports, politics, and foreign affairs!   Register today ⤵️ https://t.co/cixhvjEKLS https://t.co/yNGwBeUKWh"
107,neutral,negative,negative,positive,positive,positive,"Best article I’ve read to date on #WorldCup2022. We’ll talk soccer…ah…futbol, the World Cup &amp; Qatar tomorrow at 9:30 on The @allbaughshow on @CivicMediaUS via the Civic Media Ap on #WRCE &amp; radio on #WRCE, WXCE @LakeAirRadio &amp; WXCO @BullFallsRadio. https://t.co/QYxXCz0hw2"
108,neutral,neutral,neutral,neutral,neutral,positive,Which country do you think will win the World Cup? #WorldCup #WorldCup2022 https://t.co/g2x6xNE6FE
109,positive,positive,negative,positive,positive,positive,Love sexy #soccer players? Grab your #FREE #football #erotic #romance ebook here! #worldcup2022 #alphamale https://t.co/4SC5ez1cea via @lily_harlem https://t.co/ikrBye4Kzk
110,positive,negative,positive,negative,neutral,negative,@BBCSport @alanshearer @AlexScott Possible solutions for the BBC   1) Presenters donate their salary to charity so they are not profiteering off a World Cup they find this problematic   2) Present from London  3) The BBC could refuse to show any World Cup matches   Until then talk is cheap #WorldCup2022
111,negative,negative,neutral,neutral,neutral,negative,does anyone find it weird? #WorldCup2022 #WorldCup #FIFAWorldCup    #QatarWorldCup2022 https://t.co/QcTEkjDubh
112,positive,negative,negative,negative,negative,negative,World cup got no hype because no @shakira song. #WorldCup2022
113,positive,positive,negative,negative,negative,neutral,Watch this and tell me how the west has any right to question the morality of this #WorldCup2022  Watch the games and 🤫 #Hypocrites https://t.co/guywhjdzj2
114,neutral,neutral,positive,neutral,neutral,neutral,The Qatar Goalkeeper today #WorldCup #WorldCup2022 https://t.co/XOzfwKH93s
115,positive,neutral,negative,neutral,neutral,neutral,Scroll down family! click that #BallsOfCrypto and find out more!! #WorldCup2022 @cryptocom @cryptocomnft @LoadedLions_CDC #crofam #loadedlions https://t.co/Wqt390CUpF
116,positive,positive,neutral,positive,positive,positive,Exciting things are happening at #Sporten headquarters🎉🎈🎊.   Don’t miss the opportunity and see you at the #WorldCup2022  ⚽️!!!!  #FIFAWorldCupQatar2022 #QatarWorldCup2022 #Airdrop $BALL https://t.co/H7OS38KgZG
117,positive,negative,positive,negative,negative,negative,@BBCSport absolutely disgraceful not to show the #WorldCup2022 opening ceremony today - what happened to unbiased media? Absolute racism at it’s core @BBCNews @BBCOne
118,neutral,negative,negative,neutral,neutral,neutral,"Qatar World Cup 2022, Get Your Visa Now .. Link in my bio . #QatarWorldCup2022 #WorldCup2022 #WorldcupQatar2022 #Qatar2022 #WorldCup https://t.co/J1h6JisSNr"
119,neutral,positive,positive,neutral,neutral,neutral,Senegal? Ghana? Morocco? Which African team has the biggest potential at the #WorldCup2022  Cup? - https://t.co/jnwbsPCe1n #GoogleAlerts
120,positive,positive,positive,neutral,neutral,negative,SOCCER - Maddison and Walker to miss #England v #Iran says Southgate - @_Hadebe_101 @mfanafu43463007 @Celo_nyawose @FaneleMbuyazi8 @lepidipidi @EggsBenedictZA @AndreH_NZ - #Football #Soccer #WorldCup2022 #Qatar  https://t.co/s7zH5cjJvA
121,positive,neutral,positive,positive,positive,positive,jungkook did the choreo so stunning 🥺  #JungKook #방탄소년단 #FIFAKOOK #Dreamers2022 #JungkookInQatar #FIFAWorldCup #QatarWorldCup2022 #WorldCup2022 #JungkookAtFIFAWorldCup https://t.co/bm557jlr7w
122,neutral,positive,positive,neutral,neutral,neutral,Up next to the #threelions    for their first game of #WorldCup2022   #England  #WorldCup2022  #FIFAWorldCup        #worldcup #qatar2022      @ Khalifa International Stadium https://t.co/3Enj2389jq
123,neutral,negative,positive,neutral,neutral,positive,"@PabloOHana @AlexInAir If #BBC decided to air #WorldCup2022 then should also air ceremony showcasing Arab culture. Celebrating culture mustn’t be conflated with FIFA-Qatar sins. Here’s Q: if BBC refused to air ceremony of #WorldCup taking place, say in #apartheid state #Israel,would that be brave? Y/N?"
124,neutral,positive,neutral,neutral,neutral,positive,World Cup is watched traditionally by millions of people. But how will they engage in their passion?  Their best option will be FotballCoin.  FootballCoin will host all matches from World Cup Qatar 2022 in its contests.   #QatarWorldCup2022 #WorldCup2022  https://t.co/OnspJ1mbNd
125,positive,neutral,positive,neutral,neutral,neutral,Check out Christian Pulisic - #9 2016 Panini US National Team 'First Cap' - HGA 9.0 (AXK) https://t.co/sXVaCvHinU #eBay via @eBay #WorldCup #WorldCup2022 #WorldcupQatar2022 #FIFAWorldCup #FIFAWorldCup2022
126,negative,neutral,neutral,negative,negative,positive,"No seriously, the fan fare for the Qatar #WorldCup2022  is definitely like fyre fest. Mostly to the freaking tents! I fell sorry who pay plane ticket down there to see the whole event. @VISportsTalk  https://t.co/lCu4VOKPzO"
127,negative,negative,negative,positive,positive,positive,If we can have a few more adverts from @SBS during the World Cup that would be great! Don’t think you’ve got enough.  Maybe a few ads when the ball goes for a throw! 👏👍 #WorldCup2022 #SBS
128,positive,negative,neutral,neutral,neutral,positive,Is your squad ready? What are you waiting for?  #futbol #WorldCup2022 #NFTMinting #FIFAWorldCup #nftmint #soccer #eth #NFTProject #NewNFTProfilePic https://t.co/YCtnQzLGPm
129,neutral,positive,positive,neutral,neutral,positive,https://t.co/QByFFCcfh6 Watching #WorldCup2022 on #Jiodown is just like playing #eFootball2023 https://t.co/QByFFCcfh6 https://t.co/QByFFCcfh6
130,neutral,neutral,neutral,neutral,neutral,neutral,Omani athlete Mohammed Alnoufali wears a t-shirt with the Palestinian flag during the first match of the #WorldCup2022 in Qatar 🇵🇸 https://t.co/VnGhHxNBnx
131,negative,positive,positive,neutral,positive,neutral,One more sleep❤️ #wal #WorldCup2022
132,positive,negative,positive,neutral,neutral,positive,Check out Christian Pulisic FS-CP 2017-18 Topps Chrome Champions League Future Star HGA 10 https://t.co/LXCXhZ0U9n #eBay via @eBay #WorldCup #WorldCup2022 #WorldcupQatar2022
133,neutral,positive,neutral,positive,positive,positive,Italy will win the world cup #WorldCup2022 #FIFAWorldCup2022 https://t.co/RZ0uKWjGrP
134,neutral,positive,neutral,neutral,neutral,neutral,Where are people watching the England game tomorrow in town? #hcafc #hullcity #hull #england #FIFAWorldCup    #ThreeLions    #WorldCup #WorldCup2022
135,negative,negative,positive,negative,negative,negative,"Over 5,000 slave labourers died to build the #WorldCup2022 stadia in Qatar. I’m not into soccer, but if I was, I’d be boycotting the world cup. Qatar is a slave state."
